FoodName,Ig,FoodCategory,Cho,Cg,CategoryIg_or_FishMeatFatValue
Wheat Tortilla,30,Bakery and Bread,15.0,4.5,low
Coarse Barley Bread 80% Kernels,34,Bakery and Bread,15.0,5.1,low
Vanilla Cake Made from Packet Mix with Vanilla Frosting,42,Bakery and Bread,30.0,12.6,low
Apple Muffin Made with Rolled Oats and Sugar,44,Bakery and Bread,30.0,13.2,low
Sponge Cake Plain,46,Bakery and Bread,30.0,13.8,low
Banana Cake Made with Sugar,47,Bakery and Bread,30.0,14.1,low
Apple Muffin Made with Rolled Oats and Without Sugar,48,Bakery and Bread,30.0,14.4,low
100% Whole Grain Bread,51,Bakery and Bread,15.0,7.65,low
Corn Tortilla,52,Bakery and Bread,15.0,7.8,low
Banana Cake Made Without Sugar,55,Bakery and Bread,30.0,16.5,low
Pumpernickel Bread,56,Bakery and Bread,15.0,8.4,medium
50% Cracked Wheat Kernel Bread,58,Bakery and Bread,15.0,8.7,medium
Hamburger Bun,62,Bakery and Bread,15.0,9.3,medium
Pita Bread White,68,Bakery and Bread,15.0,10.2,medium
Whole Wheat Bread,69,Bakery and Bread,15.0,10.35,medium
Bagel White Frozen,72,Bakery and Bread,15.0,10.8,high
Wonder Bread,73,Bakery and Bread,15.0,10.95,high
Kaiser Roll,74,Bakery and Bread,15.0,11.1,high
White Wheat Flour Bread,75,Bakery and Bread,15.0,11.25,high
Waffles Aunt Jemima,76,Bakery and Bread,15.0,11.4,high
Baguette White Plain,95,Bakery and Bread,15.0,14.25,high
Chickpeas,10,Beans and Nuts,15.0,1.5,low
Peanuts,13,Beans and Nuts,5.0,0.65,low
Soy Beans,15,Beans and Nuts,15.0,2.25,low
Cashews,22,Beans and Nuts,9.0,1.98,low
Lentils,28,Beans and Nuts,15.0,4.2,low
Black Beans,30,Beans and Nuts,15.0,4.5,low
Kidney Beans,47,Beans and Nuts,15.0,7.05,low
Navy Beans,39,Beans and Nuts,15.0,5.85,low
Baked Beans,40,Beans and Nuts,15.0,6.0,low
Chickpeas Canned in Brine,42,Beans and Nuts,20.0,8.4,low
Black-Eyed Peas,50,Beans and Nuts,25.0,12.5,low
Red Wine,15,Beverages,1.0,0.15,low
Beer,15,Beverages,13.0,1.95,low
Tomato Juice,38,Beverages,10.0,3.8,low
Apple Juice Unsweetened,41,Beverages,28.0,11.48,low
Orange Juice Unsweetened,50,Beverages,26.0,13.0,low
Coca Cola,63,Beverages,26.0,16.38,medium
Fanta Orange Soft Drink,68,Beverages,27.0,18.36,medium
Cranberry Juice Cocktail,68,Beverages,30.0,20.4,medium
Gatorade,89,Beverages,14.0,12.46,high
All Bran Average,44,Cereals,20.0,8.8,low
Rolled Oats,50,Cereals,27.0,13.5,low
Oatmeal Average,55,Cereals,25.0,13.75,low
Muesli Average,56,Cereals,28.0,15.68,medium
Mini Wheats,58,Cereals,32.0,18.56,medium
Raisin Bran,61,Cereals,46.0,28.06,medium
Cream of Wheat,66,Cereals,30.0,19.8,medium
Special K,69,Cereals,23.0,15.87,medium
